,0
23,it was not just like a movie endofline the rain did not soak through my clothes down to my skin endofline i am drivin' away and i i guess you could say endofline this is the last time i will drive this way again endofline lost in the gray and i try to grab at the fray endofline because i i still love you but i can not endofparagraph bye bye to everything i thought was on my side endofline bye bye baby endofline i want you back but it is come down to nothing endofline and all i have is your sympathy endofline because you took me home but you just could not keep me endofline bye bye baby endofline bye bye baby endofparagraph the picture frame is empty endofline on the dresser vacant just like me endofline i see your writing on the dash endofline then back to your hesitation endofline i was so sure of everything endofline everything i thought we would always have endofline guess i never doubted it endofline then the here and the now floods in endofline feels like i am becoming a part of your past endofparagraph bye bye to everything i thought was on my side endofline bye bye baby endofline i want you back but it is come down to nothing endofline and all i have is your sympathy endofline because you took me home but you just could not keep me endofline bye bye baby endofparagraph and there is so much that i can not touch endofline you are all i want but it is not enough this time endofline and all the pages are just slipping through my hands endofline and i am so scared of how this ends endofparagraph bye bye to everything i thought was on my side endofline bye bye baby endofline i want you back but it is come down to nothing endofline and all i have is your sympathy endofline because you took me home but you just could not keep me endofparagraph bye bye to everything i thought was on my side endofline bye bye baby endofline i want you back but it is come down to nothing endofline and all i have is your sympathy endofline because you took me home but you just could not keep me endofline oh you took me home i thought you were going to keep me endofline bye bye baby endofline bye bye baby endofparagraph
24,i am like the water when your ship rolled in that night endofline rough on the surface but you cut through like a knife endofline and if it was an openshut case endofline i never would have known from that look on your face endofline lost in your current like a priceless wine endofparagraph the more that you say the less i know endofline wherever you stray i follow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofparagraph life was a willow and it bent right to your wind endofline head on the pillow i could feel you sneakin' in endofline as if you were a mythical thing endofline like you were a trophy or a champion ring endofline and there was one prize i would cheat to win endofparagraph the more that you say the less i know endofline wherever you stray i follow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofline you know that my train could take you home endofline anywhere else is hollow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofparagraph life was a willow and it bent right to your wind endofline they count me out time and time again endofline life was a willow and it bent right to your wind endofline but i come back stronger than a '90s trend endofparagraph wait for the signal and i will meet you after dark endofline show me the places where the others gave you scars endofline now this is an openshut case endofline i guess i should have known from the look on your face endofline every baitandswitch was a work of art endofparagraph the more that you say the less i know endofline wherever you stray i follow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofline you know that my train could take you home endofline anywhere else is hollow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofline the more that you say the less i know endofline wherever you stray i follow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofline you know that my train could take you home endofline anywhere else is hollow endofline i am begging for you to take my hand endofline wreck my plans that is my man endofparagraph hey that is my man endofline that is my man endofline yeah that is my man endofline every baitandswitch was a work of art endofline that is my man endofline hey that is my man endofline i am begging for you to take my hand endofline wreck my plans that is my man endofparagraph
25,you booked the night train for a reason endofline so you could sit there in this hurt endofline bustling crowds or silent sleepers endofline you are not sure which is worse endofparagraph because i dropped your hand while dancing endofline left you out there standing endofline crestfallen on the landing endofline champagne problems endofline your mom's ring in your pocket endofline my picture in your wallet endofline your heart was glass i dropped it endofline champagne problems endofparagraph you told your family for a reason endofline you could not keep it in endofline your sister splashed out on the bottle endofline now no one's celebrating endofparagraph dom pérignon you brought it endofline no crowd of friends applauded endofline your hometown skeptics called it endofline champagne problems endofline you had a speech you are speechless endofline love slipped beyond your reaches endofline and i could not give a reason endofline champagne problems endofparagraph your midas touch on the chevy door endofline november flush and your flannel cure endofline this dorm was once a madhouse endofline i made a joke well it is made for me endofline how evergreen our group of friends endofline do not think we will say that word again endofline and soon they will have the nerve to deck the halls endofline that we once walked through endofline one for the money two for the show endofline i never was ready so i watch you go endofline sometimes you just do not know the answer endofline 'til someone is on their knees and asks you endofline she would have made such a lovely bride endofline what a shame she is fucked in the head they said endofline but you will find the real thing instead endofline she will patch up your tapestry that i shred endofparagraph and hold your hand while dancing endofline never leave you standing endofline crestfallen on the landing endofline with champagne problems endofline your mom's ring in your pocket endofline her picture in your wallet endofline you will not remember all my endofline champagne problems endofparagraph you will not remember all my endofline champagne problems endofparagraph
26,gleaming twinkling endofline eyes like sinking ships on waters endofline so inviting i almost jump in endofparagraph but i do not like a gold rush gold rush endofline i do not like anticipatin' my face in a red flush endofline i do not like that anyone would die to feel your touch endofline everybody wants you endofline everybody wonders what it would be like to love you endofline walk past quick brush endofline i do not like slow motion double vision in rose blush endofline i do not like that falling feels like flying 'til the bone crush endofline everybody wants you endofline but i do not like a gold rush endofparagraph what must it be like to grow up that beautiful endofline with your hair falling into place like dominoes endofline i see me padding across your wooden floors endofline with my eagles tshirt hanging from the door endofparagraph at dinner parties i call you out on your contrarian shit endofline and the coastal town we wandered 'round had nеver seen a love as pure as it endofline and thеn it fades into the gray of my dayold tea endofline because it could never be endofparagraph because i do not like a gold rush gold rush endofline i do not like anticipatin' my face in a red flush endofline i do not like that anyone would die to feel your touch endofline everybody wants you endofline everybody wonders what it would be like to love you endofline walk past quick brush endofline i do not like slow motion double vision in rose blush endofline i do not like that falling feels like flying 'til the bone crush endofline everybody wants you endofline but i do not like a gold rush endofparagraph what must it be like to grow up that beautiful endofline with your hair falling into place like dominoes endofline my mind turns your life into folklore endofline i can not dare to dream about you anymore endofparagraph at dinner parties i will not call you out on your contrarian shit endofline and the coastal town we never found will never see a love as pure as it endofline because it fades into the gray of my dayold tea endofline because it will never be endofparagraph gleaming twinkling endofline eyes like sinking ships on waters endofline so inviting i almost jump in endofparagraph
27,if i wanted to know who you were hanging with endofline while i was gone i would have asked you endofline it is the kind of cold fogs up windshield glass endofline but i felt it when i passed you endofline there is an ache in you put there by the ache in me endofline but if it is all the same to you endofline it is the same to me endofparagraph so we could call it even endofline you could call me babe for the weekend endofline ​it is the damn season write this down endofline i am stayin' at my parents' house endofline and the road not taken looks real good now endofline and it always leads to you and my hometown endofparagraph i parkеd my car right between the methodist endofline and thе school that used to be ours endofline the holidays linger like bad perfume endofline you can run but only so far endofline i escaped it too remember how you watched me leave endofline but if it is okay with you it is okay with me endofparagraph we could call it even endofline you could call me babe for the weekend endofline ​it is the damn season write this down endofline i am stayin' at my parents' house endofline and the road not taken looks real good now endofline time flies messy as the mud on your truck tires endofline now i am missing your smile hear me out endofline we could just ride around endofline and the road not taken looks real good now endofline and it always leads to you and my hometown endofparagraph sleep in half the day just for old times' sake endofline i will not ask you to wait if you do not ask me to stay endofline so i will go back to la and the socalled friends endofline who will write books about me if i ever make it endofline and wonder about the only soul endofline who can tell which smiles i am fakin' endofline and the heart i know i am breakin' is my own endofline to leave the warmest bed i have ever known endofline we could call it even endofline even though i am leaving endofline and i will be yours for the weekend endofline ​it is the damn season endofparagraph we could call it even endofline you could call me babe for the weekend endofline ​it is the damn season write this down endofline i am stayin' at my parents' house endofline and the road not taken looks real good now endofline time flies messy as the mud on your truck tires endofline now i am missing your smile hear me out endofline we could just ride around endofline and the road not taken looks real good now endofline and it always leads to you and my hometown endofparagraph it always leads to you and my hometown endofparagraph
28,i sit and watch you reading with your head low endofline i wake and watch you breathing with your eyes closed endofline i sit and watch you endofline i notice everything you do or do not do endofline you are so much older and wiser and i endofparagraph i wait by the door like i am just a kid endofline use my best colors for your portrait endofline lay the table with the fancy shit endofline and watch you tolerate it endofline if it is all in my head tell me now endofline tell me i have got it wrong somehow endofline i know my love should be celebrated endofline but you tolerate it endofparagraph i greet you with a battle hero's welcome endofline i take your indiscretions all in good fun endofline i sit and listеn i polish plates until they gleam and glistеn endofline you are so much older and wiser and i endofparagraph i wait by the door like i am just a kid endofline use my best colors for your portrait endofline lay the table with the fancy shit endofline and watch you tolerate it endofline if it is all in my head tell me now endofline tell me i have got it wrong somehow endofline i know my love should be celebrated endofline but you tolerate it endofparagraph while you were out building other worlds where was i endofline where is that man who would throw blankets over my barbed wire endofline i made you my temple my mural my sky endofline now i am begging for footnotes in the story of your life endofline drawing hearts in the byline endofline always taking up too much space or time endofline you assume i am fine but what would you do if i endofparagraph break free and leave us in ruins endofline took this dagger in me and removed it endofline gain the weight of you then lose it endofline believe me i could do it endofline if it is all in my head tell me now endofline tell me i have got it wrong somehow endofline i know my love should be celebrated endofline but you tolerate it endofparagraph i sit and watch you endofparagraph
29,honey when i am above the trees endofline i see this for what it is endofline but now i am right down in it all the years i have given endofline is just shit we are dividin' up endofline showed you all of my hiding spots endofline i was dancing when the music stopped endofline and in the disbelief i can not face reinvention endofline i have not met the new me yet endofparagraph there will be happiness after you endofline but there was happiness because of you endofline both of these things can be true endofline there is happiness endofparagraph[postchorus] endofline past the blood and bruise endofline past the curses and cries endofline beyond the terror in the nightfall endofline haunted by the look in my eyes endofline that would have loved you for a lifetime endofline leave it all behind endofline and there is happiness endofparagraph tell me when did your winning smile endofline begin to look like a smirk endofline when did all our lessons start to look like weapons endofline pointed at my deepest hurt endofline i hope she will be a beautiful fool endofline who takes my spot next to you endofline no i did not mean that endofline sorry i can not see facts through all of my fury endofline you have not met the new me yet endofparagraph there will be happiness after me endofline but there was happiness because of me endofline both of these things i believe endofline there is happiness endofparagraph[postchorus] endofline in our history across our great divide endofline there is a glorious sunrise endofline dappled with the flickers of light endofline from the dress i wore at midnight leave it all behind endofline and there is happiness endofparagraph i can not make it go away by making you a villain endofline i guess it is the price i paid for seven years in heaven endofline and i pulled your body into mine endofline every goddamn night now i get fake niceties endofline no one teaches you what to do endofline when a good man hurts you endofline and you know you hurt him too endofparagraph honey when i am above the trees endofline i see it for what it is endofline but now my eyes leak acid rain on the pillow where you used to lay your head endofline after giving you the best i had endofline tell me what to give after that endofline all you want from me now is the green light of forgiveness endofline you have not met the new me yet endofline and i think she will give you that endofparagraph there will be happiness after you endofline but there was happiness because of you too endofline both of these things can be true endofline there is happiness endofparagraph[postchorus] endofline in our history across our great divide endofline there is a glorious sunrise endofline dappled with the flickers of light endofline from the dress i wore at midnight leave it all behind endofline oh leave it all behind endofline leave it all behind endofline and there is happiness endofparagraph
30,hey dorothea do you ever stop and think about me endofline when we were younger down in the park endofline honey making a lark of the misery endofline you got shiny friends since you left town endofline a tiny screen's the only place i see you now endofline and i got nothing but well wishes for ya endofparagraph[prechorus] endofline ooh this place is the same as it ever was endofline ooh but you will not like it that way endofparagraph it is never too late to come back to my side endofline the stars in your eyes shined brighter in tupelo endofline and if you are ever tired of bеing known for who you know endofline you know that you will always know me dorothea uhuh endofline dorothea ahah endofparagraph[postchorus] endofline ooh you'rе a queen sellin' dreams sellin' makeup and magazines endofline ooh from you i would buy anything endofparagraph hey dorothea do you ever stop and think about me endofline when it was calmer skipping the prom just to piss off your mom and her pageant schemes endofline and damn dorothea they all want to be ya endofline but are you still the same soul i met under the bleachers well endofparagraph[prechorus] endofline ooh i guess i will never know endofline ooh and you will go on with the show endofparagraph but it is never too late to come back to my side endofline the stars in your eyes shined brighter in tupelo endofline and if you are ever tired of being known for who you know endofline you know you will always know me dorothea uhuh endofline dorothea ahah endofparagraph ooh ooh endofline oohwoooohoohooh oohoohoohooh endofline ooh ooh endofline oohwoooohoohooh oohoohooh endofline dorothea ahahah endofline ahah endofline ooh endofparagraph
31,how is one to know endofline i would meet you where the spirit meets the bones endofline in a faithforgotten land endofline in from the snow endofline your touch brought forth an incandescent glow endofline tarnished but so grand endofparagraph[prechorus] endofline and the old widow goes to the stone every day endofline but i do not i just sit here and wait endofline grieving for the living endofparagraph oh goddamn endofline my pain fits in the palm of your freezing hand endofline taking mine but it is been promised to another endofline oh i can not endofline stop you putting roots in my dreamland endofline my house of stone your ivy grows endofline and now i am covered in you endofparagraph i wish to know endofline the fatal flaw that makes you long to be endofline magnificently cursed endofline he is in the room endofline your opal eyes are all i wish to see endofline he wants what is only yours endofparagraph oh goddamn endofline my pain fits in the palm of your freezing hand endofline taking mine but it is been promised to another endofline oh i can not endofline stop you putting roots in my dreamland endofline my house of stone your ivy grows endofline and now i am covered endofparagraph clover blooms in the fields endofline spring breaks loose the time is near endofline what would he do if he found us out endofline crescent moon coast is clear endofline spring breaks loose but so does fear endofline he is going to burn this house to the ground endofline how is one to know endofline i would live and die for moments that we stole endofline on begged and borrowed time endofline so tell me to run endofline or dare to sit and watch what we will become endofline and drink my husband's wine endofparagraph oh goddamn endofline my pain fits in the palm of your freezing hand endofline taking mine but it is been promised to another endofline oh i can not endofline stop you putting roots in my dreamland endofline my house of stone your ivy grows endofline and now i am covered in you endofline and i am covered in you endofparagraph so yeah it is a fire endofline it is a goddamn blaze in the dark endofline and you started it endofline you started it endofline so yeah it is a war endofline it is the goddamn fight of my life endofline and you started it endofline you started it endofparagraph oh i can not endofline stop you putting roots in my dreamland endofline my house of stone your ivy grows endofline and now i am covered endofline in you in you endofline now i am covered in you endofline in you endofparagraph
32,and the tennis court was covered up endofline with some tentlike thing endofline and you asked me to dance endofline but i said dancin' is a dangerous game endofparagraph oh i thought endofline this is going to be one of those things endofline now i know endofline i am never going to love again endofparagraph i have got some tricks up my sleeve endofline takes one to know one endofline you are a cowboy like me endofparagraph never wanted love endofline just a fancy car endofline now i am waiting by the phone endofline like i am sitting in an airport bar endofparagraph you had some tricks up your sleeve endofline takes one to know one endofline you are a cowboy like me endofparagraph[postchorus 1] endofline perched in the dark endofline telling all the rich folks anything they want to hear endofline like it could be love endofline i could be the way forward endofline only if they pay for it endofline you are a bandit like me endofparagraph[postchorus 2] endofline eyes full of stars endofline hustling for the good life endofline never thought i would meet you here endofline it could be love endofline we could be the way forward endofline and i know i will pay for it endofparagraph you are a cowboy like me endofparagraph[postchorus 1] endofline perched in the dark endofline telling all the rich folks anything they want to hear endofline like it could be love endofline i could be the way forward endofline only if they pay for it endofline you are a bandit like me endofparagraph[postchorus 2] endofline eyes full of stars endofline hustling for the good life endofline never thought i would meet you here endofline it could be love endofline we could be the way forward endofline and i know i will pay for it endofparagraph and the skeletons in both our closets endofline plotted hard to fuck this up endofline and the old men that i have swindled endofline really did believe i was the one endofline and the ladies lunching have their stories about endofline when you passed through town endofline but that was all before i locked it down endofparagraph now you hang from my lips endofline like the gardens of babylon endofline with your boots beneath my bed endofline forever is the sweetest con endofparagraph i have had some tricks up my sleeve endofline takes one to know one endofline you are a cowboy like me endofparagraph and i am never going to love again endofline i am never going to love again endofline i am never going to love again endofparagraph
33,never be so kind endofline you forget to be clever endofline never be so clever endofline you forget to be kind endofparagraph[prechorus] endofline and if i did not know better endofline i would think you were talking to me now endofline if i did not know better endofline i would think you were still around endofparagraph what died did not stay dead endofline what died did not stay dead endofline you are alive you are alive in my head endofline what died did not stay dead endofline what died did not stay dead endofline you are alive so alive endofparagraph never be so politе endofline you forget your power endofline nevеr wield such power endofline you forget to be polite endofparagraph[prechorus] endofline and if i did not know better endofline i would think you were listening to me now endofline if i did not know better endofline i would think you were still around endofparagraph what died did not stay dead endofline what died did not stay dead endofline you are alive you are alive in my head endofline what died did not stay dead endofline what died did not stay dead endofline you are alive so alive endofparagraph the autumn chill that wakes me up endofline you loved the amber skies so much endofline long limbs and frozen swims endofline you would always go past where our feet could touch endofline and i complained the whole way there endofline the car ride back and up the stairs endofline i should have asked you questions endofline i should have asked you how to be endofline asked you to write it down for me endofline should have kept every grocery store receipt endofline because every scrap of you would be taken from me endofline watched as you signed your name marjorie endofline all your closets of backlogged dreams endofline and how you left them all to me endofparagraph what died did not stay dead endofline what died did not stay dead endofline you are alive you are alive in my head endofline what died did not stay dead endofline what died did not stay dead endofline you are alive so alive endofparagraph and if i did not know better endofline i would think you were singing to me now endofline if i did not know better endofline i would think you were still around endofline i know better endofline but i still feel you all around endofline i know better endofline but you are still around endofparagraph
34,it is been a long time endofline and seeing the shape of your name endofline still spells out pain endofline it was not right endofline the way it all went down endofline looks like you know that now endofparagraph yes i got your letter endofline yes i am doing better endofline it cut deep to know ya right to the bone endofline yes i got your letter endofline yes i am doing better endofline i know that it is over i do not need your endofline closure your closure endofparagraph do not treat me like endofline some situation that needs to be handled endofline i am fine with my spite endofline and my tears and my beers and my candles endofline i can feel you smoothing me over endofparagraph yes i got your letter endofline yes i am doing bettеr endofline it cut deep to know ya right to the bone endofline yes i got your lеtter endofline yes i am doing better endofline i know that it is over i do not need your endofline closure your closure endofline your closure your closure endofparagraph i know i am just a wrinkle in your new life endofline staying friends would iron it out so nice endofline guilty guilty reaching out across the sea endofline that you put between you and me endofline but it is fake and it is oh so unnecessary endofparagraph yes i got your letter endofline yes i am doing better endofline it cut deep to know ya right to the bone endofline yes i got your letter endofline yes i am doing better endofline i know that it is over i do not need your endofline closure closure your closure endofline your closure endofparagraph
35,i am doing good i am on some new shit endofline been saying yes instead of no endofline i thought i saw you at the bus stop i did not though endofline i hit the ground running each night endofline i hit the sunday matinée endofline you know the greatest films of all time were never made endofparagraph[prechorus] endofline i guess you never know never know endofline and if you wanted me you really should have showed endofline and if you never bleed you are never going to grow endofline and it is alright now endofparagraph but we were something do not you think so endofline roaring twenties tossing pennies in the pool endofline and if my wishes came true endofline it would have been you endofline in my defense i have none endofline for never leaving well enough alone endofline but it would have been fun endofline if you would have been the one endofline ooh endofparagraph i have this dream you are doing cool shit endofline having adventures on your own endofline you meet some woman on the internet and take her home endofline we never painted by the numbers baby endofline but we were making it count endofline you know the greatest loves of all time are over now endofparagraph[prechorus] endofline i guess you never know never know endofline and it is another day waking up alone endofparagraph but we were something do not you think so endofline roaring twenties tossing pennies in the pool endofline and if my wishes came true endofline it would have been you endofline in my defense i have none endofline for never leaving well enough alone endofline but it would have been fun endofline if you would have been the one endofparagraph i i i persist and resist the temptation to ask you endofline if one thing had been different endofline would everything be different today endofparagraph we were something do not you think so endofline rosé flowing with your chosen family endofline and it would have been sweet endofline if it could have been me endofline in my defense i have none endofline for digging up the grave another time endofline but it would have been fun endofline if you would have been the one endofline ooh endofparagraph
36,vintage tee brand new phone endofline high heels on cobblestones endofline when you are young they assume you know nothing endofline sequin smile black lipstick endofline sensual politics endofline when you are young they assume you know nothing endofparagraph but i knew you endofline dancin' in your levi's endofline drunk under a streetlight i endofline i knew you endofline hand under my sweatshirt endofline baby kiss it better i endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph a friend to all is a friend to none endofline chase two girls lose the one endofline when you are young they assume you know nothing endofparagraph but i knew you endofline playing hideandseek and endofline giving me your weekends i endofline i knew you endofline your heartbeat on the high line endofline once in twenty lifetimes i endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph to kiss in cars and downtown bars endofline was all we needed endofline you drew stars around my scars endofline but now i am bleedin' endofparagraph because i knew you endofline steppin' on the last train endofline marked me like a bloodstain i endofline i knew you endofline tried to change the ending endofline peter losing wendy i endofline i knew you endofline leavin' like a father endofline running like water i endofline and when you are young they assume you know nothing endofparagraph but i knew you would linger like a tattoo kiss endofline i knew you would haunt all of my whatifs endofline the smell of smoke would hang around this long endofline because i knew everything when i was young endofline i knew i would curse you for the longest time endofline chasin' shadows in the grocery line endofline i knew you would miss me once the thrill expired endofline and you would be standin' in my front porch light endofline and i knew you would come back to me endofline you would come back to me endofline and you would come back to me endofline and you would come back endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph
37,rebekah rode up on the afternoon train it was sunny endofline her saltbox house on the coast took her mind off st louis endofline bill was the heir to the standard oil name and money endofline and the town said how did a middleclass divorcée do it endofline the wedding was charming if a little gauche endofline there is only so far new money goes endofline they picked out a home and called it holiday house endofline their parties were tasteful if a little loud endofline the doctor had told him to settle down endofline it must have been her fault his heart gave out endofparagraph and they said endofline there goes the last great american dynasty endofline who knows if she never showed up what could have been endofline there goes the maddest woman this town has ever seen endofline she had a marvelous time ruining everything endofparagraph rebekah gave up on the rhode island set forever endofline flew in all her bitch pack friends from the city endofline filled the pool with champagne and swam with the big names endofline and blew through the money on the boys and the ballet endofline and losing on card game bets with dalí endofparagraph and they said endofline there goes the last great american dynasty endofline who knows if she never showed up what could have been endofline there goes the most shameless woman this town has ever seen endofline she had a marvelous time ruining everything endofparagraph they say she was seen on occasion endofline pacing the rocks staring out at the midnight sea endofline and in a feud with her neighbor endofline she stole his dog and dyed it key lime green endofline fifty years is a long time endofline holiday house sat quietly on that beach endofline free of women with madness their men and bad habits endofline and then it was bought by me endofparagraph who knows if i never showed up what could have been endofline there goes the loudest woman this town has ever seen endofline i had a marvelous time ruining everything endofparagraph i had a marvelous time ruining everything endofline a marvelous time ruining everything endofline a marvelous time endofline i had a marvelous time endofparagraph
38,we gather here we line up weepin' in a sunlit room endofline and if i am on fire you will be made of ashes too endofline even on my worst day did i deserve babe endofline all the hell you gave me endofline because i loved you i swear i loved you endofline 'til my dying day endofparagraph i did not have it in myself to go with grace endofline and you are the hero flying around saving face endofline and if i am dead to you why are you at the wake endofline cursing my name wishing i stayed endofline look at how my tears ricochet endofparagraph we gather stones never knowing what they will mean endofline some to throw some to make a diamond ring endofline you know i did not want to have to haunt you endofline but what a ghostly scene endofline you wear the same jewels that i gave you endofline as you bury me endofparagraph i did not have it in myself to go with grace endofline because when i would fight you used to tell me i was brave endofline and if i am dead to you why are you at the wake endofline cursing my name wishing i stayed endofline look at how my tears ricochet endofparagraph and i can go anywhere i want endofline anywhere i want just not home endofline and you can aim for my heart go for blood endofline but you would still miss me in your bones endofline and i still talk to you when i am screaming at the sky endofline and when you can not sleep at night you hear my stolen lullabies endofparagraph i did not have it in myself to go with grace endofline and so the battleships will sink beneath the waves endofline you had to kill me but it killed you just the same endofline cursing my name wishing i stayed endofline you turned into your worst fears endofline and you are tossing out blame drunk on this pain endofline crossing out the good years endofline and you are cursing my name wishing i stayed endofline look at how my tears ricochet endofparagraph
39,i want you to know endofline i am a mirrorball endofline i will show you every version of yourself tonight endofline i will get you out on the floor endofline shimmering beautiful endofline and when i break it is in a million pieces endofparagraph hush when no one is around my dear endofline you will find me on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofline hush i know they said the end is near endofline but i am still on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofparagraph i want you to know endofline i am a mirrorball endofline i can change everything about me to fit in endofline you are not like the regulars endofline the masquerade revelers endofline drunk as they watch my shattered edges glisten endofparagraph hush when no one is around my dear endofline you will find me on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofline hush i know they said the end is near endofline but i am still on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofparagraph and they called off the circus burned the disco down endofline when they sent home the horses and the rodeo clowns endofline i am still on that tightrope endofline i am still trying everything to get you laughing at me endofline and i am still a believer but i do not know why endofline i have never been a natural all i do is try try try endofline i am still on that trapeze endofline i am still trying everything to keep you looking at me endofparagraph because i am a mirrorball endofline i am a mirrorball endofline and i will show you every version of yourself tonight endofparagraph
40,please picture me in the trees endofline i hit my peak at seven endofline feet in the swing over the creek endofline i was too scared to jump in endofline but i i was high in the sky endofline with pennsylvania under me endofline are there still beautiful things endofparagraph sweet tea in the summer endofline cross your heart will not tell no other endofline and though i can not recall your face endofline i still got love for you endofline your braids like a pattern endofline love you to the moon and to saturn endofline passed down like folk songs endofline the love lasts so long endofparagraph and i have been meaning to tell you endofline i think your house is haunted endofline your dad is always mad and that must be why endofline and i think you should come live with me endofline and we can be pirates endofline then you will not have to cry endofline or hide in the closet endofline and just like a folk song endofline our love will be passed on endofparagraph please picture me in the weeds endofline before i learned civility endofline i used to scream ferociously endofline any time i wanted endofline i i endofparagraph sweet tea in the summer endofline cross my heart will not tell no other endofline and though i can not recall your face endofline i still got love for you endofline pack your dolls and a sweater endofline we will move to india forever endofline passed down like folk songs endofline our love lasts so long endofparagraph
41,salt air and the rust on your door endofline i never needed anything more endofline whispers of are you sure endofline never have i ever before endofparagraph but i can see us lost in the memory endofline august slipped away into a moment in time endofline because it was never mine endofline and i can see us twisted in bedsheets endofline august sipped away like a bottle of wine endofline because you were never mine endofparagraph your back beneath the sun endofline wishin' i could write my name on it endofline will you call when you are back at school endofline i remember thinkin' i had you endofparagraph but i can see us lost in the memory endofline august slipped away into a moment in time endofline because it was never mine endofline and i can see us twisted in bedsheets endofline august sipped away like a bottle of wine endofline because you were never mine endofparagraph back when we were still changin' for the better endofline wanting was enough endofline for me it was enough endofline to live for the hope of it all endofline cancel plans just in case you would call endofline and say meet me behind the mall endofline so much for summer love and saying us endofline because you were not mine to lose endofline you were not mine to lose no endofparagraph but i can see us lost in the memory endofline august slipped away into a moment in time endofline because it was never mine endofline and i can see us twisted in bedsheets endofline august sipped away like a bottle of wine endofline because you were never mine endofparagraph because you were never mine endofline never mine endofline but do you remember endofline remember when i pulled up and said get in the car endofline and then canceled my plans just in case you would call endofline back when i was livin' for the hope of it all for the hope of it all endofline meet me behind the mall endofline remember when i pulled up and said get in the car endofline and then canceled my plans just in case you would call endofline back when i was livin' for the hope of it all for the hope of it all endofline meet me behind the mall endofline remember when i pulled up and said get in the car endofline and then canceled my plans just in case you would call endofline back when i was livin' for the hope of it all for the hope of it all endofline for the hope of it all for the hope of it all endofline for the hope of it all for the hope of it all endofparagraph
42,i have been having a hard time adjusting endofline i had the shiniest wheels now they are rusting endofline i did not know if you would care if i came back endofline i have a lot of regrets about that endofline pulled the car off the road to the lookout endofline could have followed my fears all the way down endofline and maybe i do not quite know what to say endofline but i am here in your doorway endofparagraph i just wanted you to know that this is me trying endofline i just wanted you to know that this is me trying endofparagraph they told me all of my cages were mental endofline so i got wasted like all my potential endofline and my words shoot to kill when i am mad endofline i have a lot of regrets about that endofline i was so ahead of the curve the curve became a sphere endofline fell behind all my classmates and i ended up here endofline pouring out my heart to a stranger endofline but i did not pour the whiskey endofparagraph i just wanted you to know that this is me trying endofline i just wanted you to know that this is me trying endofparagraph[postchorus] endofline at least i am trying endofparagraph and it is hard to be at a party when i feel like an open wound endofline it is hard to be anywhere these days when all i want is you endofline you are a flashback in a film reel on the one screen in my town endofparagraph and i just wanted you to know that this is me trying endofline and maybe i do not quite know what to say endofline i just wanted you to know that this is me trying endofparagraph at least i am trying endofparagraph
43,make sure nobody sees you leave endofline hood over your head keep your eyes down endofline tell your friends you are out for a run endofline you will be flushed when you return endofline take the road less traveled by endofline tell yourself you can always stop endofline what started in beautiful rooms endofline ends with meetings in parking lots endofparagraph and that is the thing about illicit affairs endofline and clandestine meetings and longing stares endofline it is born from just one single glance endofline but it dies and it dies and it dies endofline a million little times endofparagraph leave the perfume on the shelf endofline that you picked out just for him endofline so you leave no trace behind endofline like you do not even exist endofline take the words for what they are endofline a dwindling mercurial high endofline a drug that only worked endofline the first few hundred times endofparagraph and that is the thing about illicit affairs endofline and clandestine meetings and stolen stares endofline they show their truth one single time endofline but they lie and they lie and they lie endofline a million little times endofparagraph and you want to scream endofline do not call me kid do not call me baby endofline look at this godforsaken mess that you made me endofline you showed me colors you know i can not see with anyone else endofline do not call me kid do not call me baby endofline look at this idiotic fool that you made me endofline you taught me a secret language i can not speak with anyone else endofparagraph and you know damn well endofline for you i would ruin myself endofline a million little times endofparagraph
